round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,2,A,5,0.069,0.07,0.047,0.045,0.039,0.038,0.04,0.039,0.0395,0.039,0.0295,0.031,
3,2,B,5,0.053,0.054,0.047,0.045,0.038,0.039,0.039,0.04,0.0385,0.039,0.0145,0.015,
3,2,C,5,0.121,0.103,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.039,0.0815,0.064,
3,2,D,5,0.048,0.06,0.047,0.046,0.039,0.039,0.039,0.039,0.039,0.039,0.009,0.021,
3,2,E,5,0.048,0.051,0.047,0.048,0.039,0.041,0.039,0.042,0.039,0.04,0.009,0.011,
3,2,F,5,0.066,0.081,0.048,0.045,0.04,0.038,0.04,0.039,0.04,0.04,0.026,0.041,
3,2,G,5,0.119,0.08,0.046,0.047,0.039,0.041,0.039,0.041,0.039,0.04,0.08,0.04,
3,2,H,5,0.111,0.091,0.049,0.046,0.043,0.042,0.041,0.041,0.042,0.0415,0.069,0.0495,
3,2,A,6,0.071,0.065,0.047,0.045,0.038,0.038,0.04,0.04,0.039,0.0395,0.032,0.0255,
3,2,B,6,0.1,0.095,0.046,0.044,0.038,0.038,0.039,0.038,0.0385,0.039,0.0615,0.056,
3,2,C,6,0.093,0.087,0.048,0.046,0.04,0.039,0.041,0.04,0.0405,0.0385,0.0525,0.0485,
3,2,D,6,0.123,0.128,0.047,0.045,0.039,0.039,0.039,0.039,0.039,0.0395,0.084,0.0885,
3,2,E,6,0.099,0.084,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.0385,0.06,0.0455,
3,2,F,6,0.153,0.142,0.047,0.044,0.039,0.038,0.039,0.039,0.039,0.038,0.114,0.104,
3,2,G,6,0.048,0.056,0.048,0.046,0.04,0.041,0.04,0.04,0.04,0.04,0.008,0.016,
3,2,H,6,0.088,0.091,0.048,0.045,0.04,0.039,0.041,0.04,0.0405,0.0395,0.0475,0.0515,
3,2,A,7,0.043,0.044,0.047,0.046,0.039,0.041,0.042,0.041,0.0405,0.0405,0.0025,0.0035,
3,2,B,7,0.057,0.058,0.046,0.044,0.039,0.038,0.041,0.04,0.04,0.0395,0.017,0.0185,
3,2,C,7,0.142,0.115,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.039,0.103,0.076,
3,2,D,7,0.062,0.059,0.048,0.045,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0225,0.0205,
3,2,E,7,0.042,0.042,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0385,0.003,0.0035,
3,2,F,7,0.042,0.042,0.047,0.045,0.039,0.039,0.039,0.039,0.039,0.039,0.003,0.003,
3,2,G,7,0.046,0.048,0.049,0.047,0.04,0.04,0.041,0.04,0.0405,0.0395,0.0055,0.0085,
3,2,H,7,0.049,0.052,0.053,0.053,0.044,0.046,0.046,0.047,0.045,0.043,0.004,0.009,
3,2,A,8,0.071,0.094,0.047,0.045,0.039,0.038,0.04,0.04,0.0395,0.0425,0.0315,0.0515,
3,2,B,8,0.149,0.159,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.11,0.12,
3,2,C,8,0.061,0.069,0.048,0.045,0.039,0.038,0.04,0.039,0.0395,0.038,0.0215,0.031,
3,2,D,8,0.084,0.095,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0385,0.045,0.0565,
3,2,E,8,0.059,0.048,0.047,0.046,0.039,0.04,0.04,0.04,0.0395,0.0395,0.0195,0.0085,
3,2,F,8,0.105,0.099,0.048,0.047,0.04,0.04,0.04,0.04,0.04,0.04,0.065,0.059,
3,2,G,8,0.049,0.046,0.049,0.047,0.04,0.04,0.04,0.04,0.04,0.04,0.009,0.006,
3,2,H,8,0.057,0.051,0.049,0.045,0.041,0.039,0.042,0.04,0.0415,0.0395,0.0155,0.0115,
3,2,A,9,0.057,0.057,0.048,0.046,0.04,0.04,0.04,0.04,0.04,0.04,0.017,0.017,
3,2,B,9,0.04,0.041,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.039,0.001,0.002,
